cep,estado,cidade,ddd,logradouro
17047190,SP,Bauru,14,Rua Yolanda da Silva Gamba
17047190,SP,Bauru,14,Rua Yolanda da Silva Gamba
68627000,PA,Paragominas,91,Rua Eldorado
68627000,PA,Paragominas,91,Rua Eldorado
13403326,SP,Piracicaba,19,Rua das Piracanjubas
65063030,MA,São Luís,98,Condomínio Ipem Angelim
19500000,SP,Martinópolis,18,NE
64240000,PI,Piracuruca,86,NE
64240000,PI,Piracuruca,86,NE
64240000,PI,Piracuruca,86,NE
59570000,RN,Ceará-Mirim,84,NE
64240000,PI,Piracuruca,86,NE
30880345,MG,Belo Horizonte,31,Rua Mafra
30880345,MG,Belo Horizonte,31,Rua Mafra
59515000,RN,Angicos,,NE
64920000,PI,Cristino Castro,,NE
